group,series,t,algae,coral
2,5,51,2.691586190984075e-11,0.9666605578530156
2,5,52,7.504821691536871e-12,0.9371766914675995
2,5,53,2.290060374560971e-12,0.9629359904533756
2,5,54,8.792211171064959e-13,0.9316043758381636
2,5,55,5.780630236525111e-13,0.8839441514063361
2,5,56,3.540959941193506e-13,0.9211301948466778
2,5,57,2.323868218575419e-13,0.9352963161262027
2,5,58,1.2118081127473413e-13,0.9133076948678066
2,5,59,6.71689861460776e-14,0.9133509401949131
2,5,60,4.369791686960138e-14,0.9054699614999114
2,5,61,2.870321293214536e-14,0.899841298179863
2,5,62,2.1747503604086398e-14,0.866397429637163
2,5,63,1.444064398656837e-14,0.9017834449096634
2,5,64,9.201167434992539e-15,0.9055328196413965
2,5,65,5.375629636935278e-15,0.9170478240577419
2,5,66,2.58982219631649e-15,0.9161932636464563
2,5,67,1.2593742316607698e-15,0.935125038043204
2,5,68,8.604226502996715e-16,0.9096038129627799
2,5,69,4.532118263651564e-16,0.9106817283801377
2,5,70,1.9716557819287393e-16,0.9596604729500228
2,5,71,1.2356714690238528e-17,0.9848744206299913
2,5,72,9.988989559774056e-19,0.9759060100006752
2,5,73,1.9822664829790892e-19,0.9560405118699737
2,5,74,9.285662999879358e-20,0.8832365358925631
2,5,75,5.254312977464742e-20,0.913107238322741
2,6,1,0.46658936420265035,0.09127387685903186
2,6,2,0.4728168616241686,0.10741220638374523
2,6,3,0.551394711515416,0.08648079302494006
2,6,4,0.5167878914425633,0.08841497615468477
2,6,5,0.5290002843618263,0.08985570167017447
2,6,6,0.5784708840518847,0.07886583581999113
2,6,7,0.5676767476639337,0.08415750326275324
2,6,8,0.5525857713382148,0.06849923859963655
2,6,9,0.517187435579826,0.07083315041560957
2,6,10,0.6101244350323384,0.06517935939636814
2,6,11,0.5156234164603091,0.05845334389492511
2,6,12,0.5291325488814033,0.055626601939628324
2,6,13,0.46527051379045614,0.04964793639514756
2,6,14,0.5363008387665333,0.0513150851719121
2,6,15,0.4738270085565356,0.04970497601062665
2,6,16,0.4642701710943332,0.055210595702060695
2,6,17,0.5316970418247757,0.0604429237370757
2,6,18,0.4377176922086113,0.049268497023234534
2,6,19,0.43738449767456994,0.048558199294432336
2,6,20,0.4849748555171015,0.048345090659996946
2,6,21,0.4859007434041638,0.04406396191714725
2,6,22,0.5323685398910375,0.05063605000651246
2,6,23,0.5207338005858991,0.043162511141512046
2,6,24,0.46979129532721037,0.03893321773655595
2,6,25,0.5201333736525224,0.04704660832409112
2,6,26,0.4973322406238505,0.036639586874944514
2,6,27,0.4754991358746764,0.041541225999788975
2,6,28,0.5287807401499023,0.03771441417123908
2,6,29,0.4911637567215953,0.03734755594319406
2,6,30,0.5490667617096,0.0388134007778679
2,6,31,0.5334455025219877,0.03708851625329938
2,6,32,0.4469044456834367,0.029700890431507067
2,6,33,0.4963596217475261,0.036771452858537536
2,6,34,0.46669883068480583,0.026859145314392183
2,6,35,0.45825575952885184,0.02993786892627782
2,6,36,0.48573808353003517,0.028056847601817446
2,6,37,0.4917799940299081,0.031213999635133445
2,6,38,0.43565043651760554,0.02829851647670725
2,6,39,0.4856142324319529,0.03097109052019159
2,6,40,0.4481653582910948,0.030143355867461807
2,6,41,0.40421609741758807,0.02888053687189538
2,6,42,0.447029768924766,0.029731124656485978
2,6,43,0.44737798853911503,0.03263689280026457
2,6,44,0.38970673122430316,0.028802459791031854
2,6,45,0.4544731300766711,0.034319674755139404
2,6,46,0.43763259952322947,0.03416741607228836
2,6,47,0.48104941292376435,0.03694365602847303
2,6,48,0.42726355310606673,0.03858945902771056
2,6,49,0.41179938817204903,0.03669940195788294
2,6,50,0.45647402082181804,0.03314137187519792
2,6,51,0.44145893356748034,0.036395598529179285
2,6,52,0.3892491523599466,0.029896515016291994
2,6,53,0.3897510435753683,0.03207127355525388
2,6,54,0.4156755272279352,0.035794249171119896
2,6,55,0.3584196990495491,0.03151998132103419
2,6,56,0.3922546195056931,0.04024022424176155
2,6,57,0.4456027867163877,0.037389189710795405
2,6,58,0.4003893593088493,0.03536526232990524
2,6,59,0.4066898689382642,0.03922154028694756
2,6,60,0.45973939166534383,0.03764446690543325
2,6,61,0.4382505830750262,0.03556352207386072
2,6,62,0.37073393363886736,0.03387427133334391
2,6,63,0.3962864863524829,0.036039671720126086
2,6,64,0.4052453609635592,0.04610526294784427
2,6,65,0.31341868849441057,0.035215005661144126
2,6,66,0.4005117168466004,0.03667186426143002
2,6,67,0.3998816872551696,0.03813258233997637
2,6,68,0.3911745148918663,0.03764831460882049
2,6,69,0.4231752049868466,0.04540804960488231
2,6,70,0.36537945844452124,0.039669116635683885
2,6,71,0.4011201722974198,0.04614362952916937
2,6,72,0.3981445585427015,0.044539939907110325
2,6,73,0.41354375967302376,0.04305329367722696
2,6,74,0.41174569879934986,0.043045124277971865
2,6,75,0.4412612511676235,0.052797970883507836
2,7,1,0.17647896753852713,0.10704155937076064
2,7,2,0.211604407331619,0.13054373916560874
2,7,3,0.19542219571916672,0.11941782767721044
2,7,4,0.1708853170937445,0.1177341153572375
2,7,5,0.19440681996919168,0.13223800813917533
2,7,6,0.23670945442317168,0.1579839745453492
2,7,7,0.21895944987352411,0.15851810548030554
2,7,8,0.21840826882019956,0.16009085579599674
2,7,9,0.20088246383761674,0.164345367227986
2,7,10,0.2329179868895667,0.1956852908379246
2,7,11,0.25776709469912346,0.20745143050628334
2,7,12,0.25720228809262463,0.18739615883521438
2,7,13,0.23089455685386834,0.21779791526900208
2,7,14,0.2621187569333548,0.23594475547381538
2,7,15,0.25720418992078714,0.2212952967997833
2,7,16,0.28718807439365707,0.2337714960047105
2,7,17,0.2343141287566448,0.20628572909438475
2,7,18,0.30123075896297785,0.2584840185875709
2,7,19,0.3044356368990379,0.25655527092312586
2,7,20,0.32343332719370155,0.26768855005195324
2,7,21,0.30212798012268804,0.27234437016981833
2,7,22,0.3089959858749102,0.289847518347155
2,7,23,0.31507313277967575,0.2582639732733989
2,7,24,0.3337247801484647,0.28622557219683953
2,7,25,0.33010439203928515,0.2780562883649173
2,7,26,0.4042122122446619,0.26505160766122826
2,7,27,0.41837641167921197,0.25861468459030934
2,7,28,0.370571668116644,0.2457978075925008
2,7,29,0.33872125107349493,0.22338610319633911
2,7,30,0.3801985653037473,0.2168858751672988
2,7,31,0.3283790778875188,0.20113680922085062
2,7,32,0.34385538098176155,0.20196918182077062
2,7,33,0.3875919746896856,0.20609803281323444
2,7,34,0.38303186938905787,0.2111719355625011
2,7,35,0.341896261681055,0.20626164566358401
2,7,36,0.348584897085996,0.1826513772891813
2,7,37,0.3491087531682703,0.19766711794015776
2,7,38,0.3778152423345871,0.21827261388934333
2,7,39,0.3820962804357807,0.2012579669125591
2,7,40,0.3588801218355783,0.21623885286571795
2,7,41,0.40399489473217276,0.2110331074475547
2,7,42,0.4172910023440772,0.22222673463239756
2,7,43,0.42370919826982467,0.19704677696732487
2,7,44,0.45045617264525833,0.20381780685165554
2,7,45,0.4738298170332508,0.17123460044016717
2,7,46,0.467620463214522,0.17410694536323892
2,7,47,0.43656575530981984,0.16463640826244302
2,7,48,0.4718815318572997,0.16606841522594082
2,7,49,0.44450356040791406,0.16584822008989444
2,7,50,0.4488028751388296,0.15219654394701046
2,7,51,0.4546416321814715,0.1534979542769875
2,7,52,0.4208220836001994,0.1443548857217393
2,7,53,0.41570999260495,0.1426662825246147
2,7,54,0.3918217936809813,0.12342860702653576
2,7,55,0.4442273105571817,0.13638351869386667
2,7,56,0.40930235040494006,0.1351285717114448
2,7,57,0.39179086794234524,0.13233398719664585
2,7,58,0.4268323624836719,0.12498141460356381
